Metric,XGBoost,AdaBoost,SVM,kNN,Random Forest,Logistische Regression
accuracy,0.9596774193548387,0.9516129032258065,0.9112903225806451,0.7661290322580645,0.9354838709677419,0.9596774193548387
precision,0.9710144927536232,0.9705882352941176,0.9154929577464789,0.8153846153846154,0.9558823529411765,0.9710144927536232
recall,0.9571428571428572,0.9428571428571428,0.9285714285714286,0.7571428571428571,0.9285714285714286,0.9571428571428572
f1,0.9640287769784173,0.9565217391304348,0.9219858156028369,0.7851851851851852,0.9420289855072463,0.9640287769784173
f1_weighted,0.9597173400669816,0.9517021547877088,0.9111903647019332,0.7669722248654592,0.9356028730502783,0.9597173400669816
roc_auc,0.9907407407407407,0.9851851851851853,0.9592592592592593,0.7674603174603175,0.9843915343915344,0.9928571428571429
percent_diff_accuracy,4.0322580645161255,4.705297093350045,6.84008151905079,23.38709677419355,6.245352679119878,3.839937940396919
percent_diff_precision,2.898550724637683,2.941176470588236,7.61602353449333,18.461538461538463,4.411764705882348,2.898550724637683
percent_diff_recall,4.285714285714281,5.449544438714113,3.794920371795622,24.28571428571429,6.732480055099582,3.901319563970162
percent_diff_f1,3.597122302158273,4.213537034130344,5.719021964359717,21.48148148148148,5.588939158383849,3.4035422264597956
percent_diff_f1_weighted,4.028265993301838,4.696359162542982,6.849949180516909,23.302777513454075,6.23342523205137,3.835937098182604
percent_diff_roc_auc,0.92592592592593,1.4814814814814725,3.9528395062123987,23.25396825396825,1.5608465608465627,0.6947424395978249
best_params,"{'clf__gamma': 0.05, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 70}","{'clf__estimator': DecisionTreeClassifier(max_depth=4), 'clf__learning_rate': 0.25, 'clf__n_estimators': 21}","{'clf__C': 0.5, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}","{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}","{'clf__max_depth': 7, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 3, 'clf__n_estimators': 60}","{'clf__C': 50, 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}"
