Metric,XGBoost,AdaBoost,SVR,kNN,Random Forest,Lineare Regression
Test MSE,0.036419,0.138813,0.176658,0.183252,0.110462,0.31836
Test MAE,0.105901,0.198521,0.26967,0.212672,0.157758,0.407324
percent_diff_MSE,15.927213,32.495821,5.637636,12.079856,22.005642,26.824195
percent_diff_MAE,5.653181,11.051509,3.111506,14.624147,14.725727,12.501111
best_params,"{'clf__colsample_bytree': 0.5, 'clf__gamma': 0.2, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__min_child_weight': 3, 'clf__n_estimators': 144, 'clf__subsample': 1.0}","{'clf__estimator': DecisionTreeRegressor(max_depth=3), 'clf__learning_rate': 0.1, 'clf__n_estimators': 100}","{'clf__C': 0.9, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}","{'clf__leaf_size': 15, 'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}","{'clf__max_depth': 7, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 7, 'clf__n_estimators': 60}",{}
