Metric,XGBoost,AdaBoost,SVM,kNN,Random Forest,Logistische Regression
accuracy,0.9758064516129032,0.9838709677419355,0.9435483870967742,0.9516129032258065,0.9516129032258065,0.8790322580645161
precision,1.0,1.0,0.8666666666666667,0.8333333333333334,0.9285714285714286,0.5789473684210527
recall,0.8333333333333334,0.8888888888888888,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.6111111111111112
f1,0.9090909090909091,0.9411764705882353,0.7878787878787878,0.8333333333333334,0.8125,0.5945945945945946
f1_weighted,0.9748755370660847,0.9834719537498449,0.9413762531541976,0.9516129032258065,0.9490367383512545,0.8803803038629519
roc_auc,0.950733752620545,0.9583333333333333,0.9313417190775681,0.9827044025157233,0.9622641509433962,0.8894129979035639
percent_diff_accuracy,2.2214224955833295,0.19871497648539632,5.261605035405185,2.8725673153825633,4.257276131660202,9.532930107526878
percent_diff_precision,0.0,7.2463768115942,13.33333333333333,11.538461538461531,5.797101449275364,36.59147869674185
percent_diff_recall,15.476190476190473,8.534621578099848,25.68438003220612,8.974358974358971,25.68438003220612,31.12874779541446
percent_diff_f1,8.441558441558444,1.1082693947144104,20.07026789635486,10.256410256410255,16.98369565217391,33.933933933933936
percent_diff_f1_weighted,2.314117101228802,0.25147070783616104,5.477409963627465,2.860598272237898,4.514742209885221,9.378431131437736
percent_diff_roc_auc,4.920293055666382,3.971623515280931,6.862726927755044,1.430895328452612,3.7447400570109934,10.043306506237858
best_params,"{'clf__gamma': 0.2, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 50}","{'clf__estimator': DecisionTreeClassifier(max_depth=2), 'clf__learning_rate': 0.2, 'clf__n_estimators': 13}","{'clf__C': 10, 'clf__kernel': 'rbf'}","{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}","{'clf__max_depth': 5, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}","{'clf__C': 5, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
