Metric,XGBoost,AdaBoost,SVM,kNN,Random Forest,Logistische Regression
accuracy,0.8709677419354839,0.8709677419354839,0.8145161290322581,0.7016129032258065,0.8709677419354839,0.8387096774193549
precision,0.9821428571428571,0.9821428571428571,0.8309859154929577,0.746268656716418,0.95,0.8472222222222222
recall,0.7857142857142857,0.7857142857142857,0.8428571428571429,0.7142857142857143,0.8142857142857143,0.8714285714285714
f1,0.873015873015873,0.873015873015873,0.8368794326241135,0.7299270072992701,0.8769230769230769,0.8591549295774648
f1_weighted,0.8712027733709384,0.8712027733709384,0.8143071261949509,0.702378149281846,0.8714724313412121,0.8383239179446735
roc_auc,0.926984126984127,0.9685185185185186,0.8473544973544973,0.6997354497354498,0.9280423280423281,0.911904761904762
percent_diff_accuracy,12.903225806451612,9.462812688619136,12.001282515961739,29.838709677419352,11.630708001675746,8.136946613433205
percent_diff_precision,1.7857142857142905,1.3202437373053482,12.676056338028173,25.373134328358205,5.000000000000004,7.899228804401218
percent_diff_recall,21.42857142857143,15.368991198375086,6.0150375939849665,28.57142857142857,16.156742763003056,3.688265757231278
percent_diff_f1,12.698412698412698,9.125103437899645,9.36916759985069,27.00729927007299,11.007476872386261,5.823401950162512
percent_diff_f1_weighted,12.879722662906158,9.434337797514052,12.017992085280072,29.762185071815395,11.579233754186635,8.178610104381494
percent_diff_roc_auc,7.301587301587298,3.0300154341506405,13.849882633275994,30.026455026455025,7.190718370846551,5.326760410081562
best_params,"{'clf__gamma': 0.05, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 70}","{'clf__estimator': DecisionTreeClassifier(max_depth=4), 'clf__learning_rate': 0.25, 'clf__n_estimators': 21}","{'clf__C': 0.5, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}","{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}","{'clf__max_depth': 7, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 60}","{'clf__C': 50, 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}"
